transaction_id,geo_risk_score,txn_velocity_1h,failed_login_count,avg_transaction_amount,device_trust_score,new_payee_flag,vpn_flag,weekend_flag,segment,fraud_flag
TXN-20001,0.742,7,0,394.44,0.428,1,0,0,enterprise,legit
TXN-20002,0.267,29,2,412.35,0.378,0,1,0,partner,legit
TXN-20003,0.49,36,1,67.05,0.969,1,1,0,consumer,legit
TXN-20004,0.915,16,2,397.97,0.545,1,1,0,enterprise,fraud
TXN-20005,0.245,1,6,266.64,0.793,0,0,0,partner,legit
TXN-20006,0.942,36,7,163.96,0.393,1,0,1,consumer,fraud
TXN-20007,0.577,21,0,66.63,0.541,1,0,1,enterprise,legit
TXN-20008,0.15,33,1,811.75,0.206,0,1,0,partner,legit
TXN-20009,0.455,37,3,558.39,0.183,0,0,0,consumer,legit
TXN-20010,0.597,21,4,209.96,0.737,0,0,0,enterprise,legit
TXN-20011,0.691,20,7,314.04,0.767,0,0,0,partner,legit
TXN-20012,0.979,7,1,520.0,0.565,0,0,0,consumer,legit
TXN-20013,0.161,16,5,285.04,0.509,0,0,1,enterprise,legit
TXN-20014,0.966,34,0,641.11,0.605,1,0,1,partner,fraud
TXN-20015,0.873,17,1,847.43,0.759,0,0,0,consumer,legit
TXN-20016,0.285,22,3,659.37,0.849,0,0,0,enterprise,legit
TXN-20017,0.899,4,1,609.88,0.83,0,0,0,partner,legit
TXN-20018,0.215,17,2,709.34,0.602,0,0,0,consumer,legit
TXN-20019,0.166,10,8,53.51,0.453,0,0,0,enterprise,legit
TXN-20020,0.137,24,0,856.0,0.322,0,0,1,partner,legit
TXN-20021,0.787,27,9,717.01,0.909,0,0,1,consumer,legit
TXN-20022,0.804,12,6,43.05,0.754,0,1,0,enterprise,legit
TXN-20023,0.806,16,4,168.05,0.725,0,0,0,partner,legit
TXN-20024,0.514,13,7,345.18,0.823,1,0,0,consumer,legit
TXN-20025,0.681,26,5,279.1,0.207,1,0,0,enterprise,fraud
TXN-20026,0.548,35,5,893.49,0.245,1,0,0,partner,fraud
TXN-20027,0.947,17,0,120.81,0.506,1,0,1,consumer,legit
TXN-20028,0.633,33,1,378.23,0.623,0,0,1,enterprise,legit
TXN-20029,0.101,35,3,358.73,0.207,0,0,0,partner,legit
TXN-20030,0.376,8,4,491.62,0.697,0,0,0,consumer,legit
TXN-20031,0.588,13,6,638.38,0.461,1,0,0,enterprise,legit
TXN-20032,0.601,26,8,795.36,0.399,0,1,0,partner,fraud
TXN-20033,0.634,21,7,430.86,0.704,0,1,0,consumer,legit
TXN-20034,0.945,11,1,283.92,0.694,0,0,1,enterprise,legit
TXN-20035,0.938,16,4,228.92,0.313,0,0,1,partner,legit
TXN-20036,0.518,5,7,405.43,0.666,0,0,0,consumer,legit
TXN-20037,0.535,16,2,630.13,0.155,1,1,0,enterprise,fraud
TXN-20038,0.194,28,3,183.57,0.936,0,0,0,partner,legit
TXN-20039,0.319,8,7,144.01,0.531,0,0,0,consumer,legit
TXN-20040,0.379,29,9,777.96,0.881,0,1,0,enterprise,legit
TXN-20041,0.492,11,7,438.56,0.766,1,0,1,partner,legit
TXN-20042,0.784,32,3,275.38,0.214,0,0,1,consumer,fraud
TXN-20043,0.381,35,1,148.69,0.34,1,0,0,enterprise,legit
TXN-20044,0.157,27,5,524.63,0.491,0,0,0,partner,legit
TXN-20045,0.896,38,0,816.76,0.778,0,0,0,consumer,legit
TXN-20046,0.41,25,6,520.55,0.752,1,1,0,enterprise,legit
TXN-20047,0.53,18,6,471.65,0.469,0,1,0,partner,legit
TXN-20048,0.737,30,2,932.07,0.588,1,0,1,consumer,fraud
TXN-20049,0.683,6,6,146.2,0.529,0,0,1,enterprise,legit
TXN-20050,0.286,21,5,727.94,0.461,1,1,0,partner,legit
TXN-20051,0.322,6,7,38.03,0.592,1,0,0,consumer,legit
TXN-20052,0.672,3,0,903.14,0.313,0,0,0,enterprise,legit
TXN-20053,0.211,8,9,901.41,0.531,0,0,0,partner,legit
TXN-20054,0.633,8,2,917.19,0.239,0,0,0,consumer,legit
TXN-20055,0.696,25,6,895.57,0.313,0,1,1,enterprise,fraud
