timestamp,service,cpu_load,memory_load,error_rate,latency_ms,deployment_day,region
2026-02-01,api-gateway,51.37,64.05,0.994,180.09,no,eu-west
2026-02-02,checkout,54.36,66.24,1.251,185.22,no,us-east
2026-02-03,billing,55.47,64.32,1.239,194.13,no,ap-southeast
2026-02-04,api-gateway,55.73,64.66,1.432,195.07,no,eu-west
2026-02-05,checkout,57.47,65.53,1.551,185.96,no,us-east
2026-02-06,billing,59.96,65.48,1.52,183.04,no,ap-southeast
2026-02-07,api-gateway,60.28,64.0,1.508,177.15,no,eu-west
2026-02-08,checkout,59.19,64.45,1.661,180.76,yes,us-east
2026-02-09,billing,57.08,65.31,1.557,177.24,no,ap-southeast
2026-02-10,api-gateway,57.04,64.15,1.609,179.5,no,eu-west
2026-02-11,checkout,55.63,62.54,1.412,181.3,no,us-east
2026-02-12,billing,52.75,63.44,1.293,188.82,no,ap-southeast
2026-02-13,api-gateway,54.61,64.42,1.235,196.63,no,eu-west
2026-02-14,checkout,71.77,77.96,2.564,274.31,no,us-east
2026-02-15,billing,54.56,67.41,0.931,212.19,no,ap-southeast
2026-02-16,api-gateway,59.28,68.41,0.952,218.27,no,eu-west
2026-02-17,checkout,61.07,70.24,1.025,209.46,no,us-east
2026-02-18,billing,61.86,70.26,1.152,216.68,yes,ap-southeast
2026-02-19,api-gateway,66.76,71.99,1.359,205.0,no,eu-west
2026-02-20,checkout,69.74,74.01,1.383,198.34,no,us-east
2026-02-21,billing,71.06,74.94,1.527,203.16,no,ap-southeast
2026-02-22,api-gateway,72.64,76.19,1.666,198.51,no,eu-west
2026-02-23,checkout,73.12,76.89,1.518,203.37,no,us-east
2026-02-24,billing,76.59,79.01,1.51,206.87,no,ap-southeast
2026-02-25,api-gateway,77.61,80.09,1.665,220.9,no,eu-west
2026-02-26,checkout,73.77,81.17,1.555,225.53,no,us-east
2026-02-27,billing,73.93,81.19,1.363,231.37,yes,ap-southeast
2026-02-28,api-gateway,73.58,82.18,1.417,233.63,no,eu-west
2026-03-01,checkout,90.66,90.71,2.708,306.83,no,us-east
2026-03-02,billing,71.01,80.8,1.117,230.94,no,ap-southeast
2026-03-03,api-gateway,72.11,80.13,1.014,230.95,no,eu-west
2026-03-04,checkout,69.32,79.09,0.885,230.52,no,us-east
2026-03-05,billing,73.06,80.25,1.08,215.83,no,ap-southeast
2026-03-06,api-gateway,74.3,80.33,1.163,219.17,yes,eu-west
2026-03-07,checkout,73.25,79.66,1.413,216.38,no,us-east
2026-03-08,billing,77.09,79.1,1.409,230.16,no,ap-southeast
2026-03-09,api-gateway,97.64,89.4,2.937,300.86,no,eu-west
2026-03-10,checkout,81.72,79.25,1.677,243.5,no,us-east
2026-03-11,billing,85.4,80.66,1.523,246.47,no,ap-southeast
2026-03-12,api-gateway,87.58,81.91,1.539,252.42,no,eu-west
2026-03-13,checkout,88.7,83.28,1.504,263.52,yes,us-east
2026-03-14,billing,93.04,83.01,1.446,260.14,no,ap-southeast
2026-03-15,api-gateway,91.56,84.72,1.501,255.56,no,eu-west
2026-03-16,checkout,92.68,88.27,1.371,245.96,no,us-east
2026-03-17,billing,90.95,88.8,1.173,244.28,no,ap-southeast
