date,service,environment,daily_cost_usd,requests_millions,cpu_utilization_pct,error_rate_pct,idle_resource_pct,owner_team,operator_note
2026-01-05,webex-core,prod,1277.5,14.0,41.0,0.35,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-05,media-pipeline,staging,1541.5,17.5,49.0,0.35,16.0,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-01-05,analytics-hub,prod,1805.5,21.0,57.0,0.35,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-06,webex-core,prod,1318.6,14.9,44.2,0.41,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-06,media-pipeline,prod,1582.6,18.4,52.2,0.41,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-06,analytics-hub,prod,1846.6,21.9,60.2,0.41,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-07,webex-core,prod,1359.7,15.8,47.4,0.47,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-07,media-pipeline,prod,1623.7,19.3,55.4,0.47,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-07,analytics-hub,prod,1887.7,22.8,63.4,0.47,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-08,webex-core,prod,1400.8,16.7,50.6,0.53,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-08,media-pipeline,prod,1664.8,20.2,58.6,0.53,21.1,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-08,analytics-hub,prod,1928.8,23.7,66.6,0.53,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-09,webex-core,prod,1407.9,17.6,53.8,0.59,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-09,media-pipeline,prod,1671.9,21.1,61.8,0.59,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-09,analytics-hub,prod,1935.9,24.6,69.8,0.59,14.0,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-10,webex-core,prod,1449.0,18.5,57.0,0.35,19.7,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-10,media-pipeline,prod,1713.0,22.0,65.0,0.35,17.7,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-10,analytics-hub,prod,1977.0,25.5,73.0,0.35,15.7,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-11,webex-core,prod,1422.9,19.4,41.0,0.41,21.4,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-11,media-pipeline,prod,1686.9,22.9,49.0,0.41,19.4,realtime,media-pipeline prod baseline spend is within expected guardrails.
2026-01-11,analytics-hub,prod,1950.9,26.4,57.0,0.41,17.4,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-12,webex-core,prod,1464.0,20.3,44.2,0.47,23.1,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-12,media-pipeline,staging,1728.0,23.8,52.2,0.47,21.1,realtime,media-pipeline staging baseline spend is within expected guardrails.
2026-01-12,analytics-hub,prod,1992.0,27.3,60.2,0.47,19.1,insights,analytics-hub prod baseline spend is within expected guardrails.
2026-01-13,webex-core,prod,1471.1,21.2,47.4,0.53,18.0,platform,webex-core prod baseline spend is within expected guardrails.
2026-01-13,media-pipeline,prod,1735.1,24.7,55.4,0.53,16.0,realtime,media-pipeline prod baseline spend is within expected guardrails.
